job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id
64eec68f,wordcraft_data,rotate,0,search,KvsAll,valid,155,,,,mean_reciprocal_rank_filtered_with_test,0.1385704282005186,00000,850d6d3e
64eec68f,wordcraft_data,distmult,0,search,KvsAll,valid,10,,,,mean_reciprocal_rank_filtered_with_test,0.012726326086665954,00001,33ee1e1e
64eec68f,wordcraft_data,transe,0,search,KvsAll,valid,105,,,,mean_reciprocal_rank_filtered_with_test,0.27247803674180654,00002,6411ec01
64eec68f,wordcraft_data,distmult,0,search,KvsAll,valid,90,,,,mean_reciprocal_rank_filtered_with_test,0.24378921600159056,00003,aeaa1947
64eec68f,wordcraft_data,rotate,0,search,KvsAll,valid,80,,,,mean_reciprocal_rank_filtered_with_test,0.3824373870144755,00004,a050e295
64eec68f,wordcraft_data,transe,0,search,KvsAll,valid,95,,,,mean_reciprocal_rank_filtered_with_test,0.03952310593134323,00005,91f79077
64eec68f,wordcraft_data,rescal,0,search,KvsAll,valid,120,,,,mean_reciprocal_rank_filtered_with_test,0.29436015838022617,00006,1c9d8acd
64eec68f,wordcraft_data,distmult,0,search,KvsAll,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.21833736005249546,00007,a3772c05
64eec68f,wordcraft_data,rescal,0,search,KvsAll,valid,150,,,,mean_reciprocal_rank_filtered_with_test,0.40347198669068113,00008,2341156b
64eec68f,wordcraft_data,complex,0,search,KvsAll,valid,10,,,,mean_reciprocal_rank_filtered_with_test,0.014573791477800538,00009,d174f877
64eec68f,wordcraft_data,distmult,0,search,KvsAll,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.23961650499224765,00010,7ceb39f1
64eec68f,wordcraft_data,rotate,0,search,KvsAll,valid,145,,,,mean_reciprocal_rank_filtered_with_test,0.35363793026391416,00011,58dac9d3
64eec68f,wordcraft_data,complex,0,search,KvsAll,valid,90,,,,mean_reciprocal_rank_filtered_with_test,0.40442145146091746,00012,a52f4ee3
64eec68f,wordcraft_data,distmult,0,search,KvsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0162200927734375,00013,19645ca9
64eec68f,wordcraft_data,transe,0,search,KvsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.17538131048171515,00014,263fa276
64eec68f,wordcraft_data,rescal,0,search,KvsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.04514615244086325,00015,9f7be11e
64eec68f,wordcraft_data,complex,0,search,KvsAll,valid,100,,,,mean_reciprocal_rank_filtered_with_test,0.3653053042213564,00016,40babe1d
64eec68f,wordcraft_data,complex,0,search,KvsAll,valid,345,,,,mean_reciprocal_rank_filtered_with_test,0.3262240342139382,00017,a0fce597
64eec68f,wordcraft_data,transe,0,search,KvsAll,valid,90,,,,mean_reciprocal_rank_filtered_with_test,0.032958227309332226,00018,819df5b9
64eec68f,wordcraft_data,distmult,0,search,KvsAll,valid,115,,,,mean_reciprocal_rank_filtered_with_test,0.26613539278864146,00019,f95ca8b8
64eec68f,wordcraft_data,complex,0,search,KvsAll,valid,100,,,,mean_reciprocal_rank_filtered_with_test,0.34909778134857516,00020,5af20402
64eec68f,wordcraft_data,distmult,0,search,KvsAll,valid,25,,,,mean_reciprocal_rank_filtered_with_test,0.25357906710295924,00021,ee26b184
64eec68f,wordcraft_data,rotate,0,search,KvsAll,valid,100,,,,mean_reciprocal_rank_filtered_with_test,0.06042432173181539,00022,04dc80b6
